new.sp,old.name
Guarea rhopalocarpa,Guarea tuisana
Hakea salicifolia,Hakea florulenta
Halesia carolina,Halesia parviflora
Neosprucea grandiflora,Hasseltia grandiflora
Hecatostemon completus,Hecatostemon dasygynus
Hecatostemon completus,Hecatostemon guazumifolius
Homalium smythei,Homalium aubrevillei
Homalium longistylum,Homalium aylmeri
Homalium stipulaceum,Homalium neurophyllum
Homalium racemosum,Homalium senarium
Horsfieldia amygdalina,Horsfieldia thorelii
Itea parviflora,Itea arisanensis
Bleasdalea ferruginea,Kermadecia ferruginea
Magnolia kwangsiensis,Kmeria septentrionalis
Koelreuteria bipinnata,Koelreuteria integrifoliola
Lozania pittieri,Lacistema pedicellatum
Lacistema hasslerianum,Lacistema serrulatum
Laetia americana,Laetia apetala
Reinwardtiodendron humile,Lansium dubium
Gordonia fruticosa,Laplacea fruticosa
Gordonia fruticosa,Laplacea semiserrata
Leucadendron album,Leucadendron aurantiacum
Leucadendron rubrum,Leucadendron plumosum
Leucadendron loranthifolium,Leucadendron pseudospathulatum
Leucadendron linifolium,Leucadendron tortum
Leucadendron cinereum,Leucadendron truncatum
Leucadendron daphnoides,Leucadendron venosum
Leucospermum cuneiforme,Leucospermum attenuatum
Leucospermum cordifolium,Leucospermum nutans
Lewisia pygmaea,Lewisia glandulosa
Erocallis triphylla,Lewisia triphylla
Licaria excelsa,Licaria alata
Lilium bulbiferum,Lilium croceum
Lilium pensylvanicum,Lilium dauricum
Lilium pumilum,Lilium tenuifolium
Limnobium laevigatum,Limnobium stoloniferum
Hemiarrhena plantagina,Lindernia plantaginea
Torenia thouarsii,Lindernia thouarsii
Plagiocladus diandrus,Lingelsheimia longipedicellata
Lithocarpus robinsonii,Lithocarpus buddii
Notholithocarpus densiflorus,Lithocarpus densiflorus
Lithocarpus elegans,Lithocarpus grandifolius
Lithocarpus elegans,Lithocarpus spicatus
Neolitsea sericea,Litsea glauca
Actinodaphne glomerata,Litsea glomerata
Neolitsea umbrosa,Litsea umbrosa
Neolitsea zeylanica,Litsea zeylanica
Lunaria annua,Lunaria biennis
Virotia leptophylla,Macadamia leptophylla
Persea macrantha,Machilus macrantha
Macrozamia plurinervia,Macrozamia machinii
Macrozamia miquelii,Macrozamia macleayi
Magnolia biondii,Magnolia henanensis
Magnolia garrettii,Manglietia garrettii
Manilkara valenzuelana,Manilkara albescens
Manilkara subsericea,Manilkara bella
Manilkara subsericea,Manilkara floribunda
Manilkara zapota,Manilkara meridionalis
Manilkara obovata,Manilkara multinervis
Manilkara bidentata,Manilkara williamsii
Marantochloa monophylla,Marantochloa holostachya
Marsilea minuta,Marsilea polycarpa
Ibicella lutea,Martynia lutea
Proboscidea louisianica,Martynia proboscidea
Onoclea orientalis,Matteuccia orientalis
Melanophylla alnifolia,Melanophylla capuronii
Melanthium parviflorum,Melanthium hybridum
Azadirachta indica,Melia azadirachta
Melia azedarach,Melia dubia
Melia azedarach,Melia toosendan
Mimetes fimbriifolius,Mimetes hartogii
Mimusops balata,Mimusops commersonii
Manilkara bidentata,Mimusops globosa
Manilkara sansibarensis,Mimusops sansibarensis
Mimusops somalensis,Mimusops schliebenii
Misodendrum punctulatum,Misodendrum imbricatum
Cistanthe calycina,Montia calycina
Montia fontana,Montia lamprosperma
Claytonia perfoliata,Montia perfoliata
Musa textilis,Musa abaca
Persea vesticula,Mutisiopersea vesticula
Nectandra hihua,Nectandra albiflora
Nectandra salicifolia,Nectandra colorata
Nectandra salicina,Nectandra davidsoniana
Nectandra patens,Nectandra exaltata
Nectandra angustifolia,Nectandra falcifolia
Nectandra hihua,Nectandra glabrescens
Ocotea glaucosericea,Nectandra hypoglauca
Nectandra globosa,Nectandra pisi
Nectandra megapotamica,Nectandra saligna
Ocotea sinuata,Nectandra sinuata
Cinnamomum cassia,Neolitsea cassia
Pycnandra acuminata,Niemeyera acuminata
Pycnandra sessilifolia,Niemeyera sessilifolia
Caryodaphnopsis tonkinensis,Nothaphoebe pyriformis
Nuphar rubrodisca,Nymphaea hybrida
Nymphaea nouchali,Nymphaea stellata
Nymphoides indica,Nymphoides thunbergiana
Nyssa ogeche,Nyssa capitata
Phyllocosmus congolensis,Ochthocosmus congolensis
Phyllocosmus sessiliflorus,Ochthocosmus sessiliflorus
Ocotea cymbarum,Ocotea barcellensis
Rhodostemonodaphne kunthiana,Ocotea cooperi
Ocotea oblonga,Ocotea cuprea
Ocotea splendens,Ocotea globifera
Pleurothyrium palmanum,Ocotea palmana
Villarsia umbricola,Ornduffia umbricola
Stauntonia brunoniana,Parvatia brunoniana
Paulownia tomentosa,Paulownia imperialis
Pentaphylax euryoides,Pentaphylax malayana
Machilus bonii,Persea bonii
Machilus parabreviflora,Persea breviflora
Persea americana,Persea edulis
Persea americana,Persea floccosa
Persea americana,Persea gratissima
Machilus ichangensis,Persea ichangensis
Nectandra reticulata,Persea incana
Machilus kurzii,Persea kurzii
Machilus oreophila,Persea oreophila
Cinnamomum pachypodum,Persea pachypoda
Persea liebmannii,Persea podadenia
Persea palustris,Persea pubescens
Machilus zuihoensis,Persea zuihoensis
Cistanthe celosioides,Philippiamra pachyphylla
Ocotea amplifolia,Phoebe amplifolia
Persea excelsa,Phoebe excelsa
Ocotea helicterifolia,Phoebe helicterifolia
Cinnamomum neurophyllum,Phoebe neurophylla
Ocotea porphyria,Phoebe porphyria
Ocotea acuminatissima,Phoebe siltepecana
Mitrasacme palustris,Phyllangium palustre
Phyllonoma ruscifolia,Phyllonoma integerrima
Picramnia teapensis,Picramnia carpinterae
Calamistrum globuliferum,Pilularia globulifera
Pinus hartwegii,Pinus rudis
Pinus pseudostrobus,Pinus yecorensis
Planchonella duclitan,Planchonella nitida
Beccariella papyracea,Planchonella papyracea
Chrysophyllum subnudum,Planchonella subnuda
Pleuranthodendron lindenii,Pleuranthodendron mexicanum
Pleurothyrium parviflorum,Pleurothyrium densiflorum
Pomaderris ledifolia,Pomaderris helianthemifolia
Populus euphratica,Populus diversifolia
Portulaca pilosa,Portulaca mundula
Portulaca halimoides,Portulaca parvula
Portulaca oleracea,Portulaca retusa
Potameia thouarsiana,Potameia obovata
Groenlandia densa,Potamogeton densus
Potamogeton diversifolius,Potamogeton dimorphus
Potamogeton gramineus,Potamogeton filiformis
Stuckenia pectinata,Potamogeton helveticus
Stuckenia pectinata,Potamogeton pectinatus
Potamogeton lucens,Potamogeton zizii
Potamogeton compressus,Potamogeton zosteriformis
Pouteria hispida,Pouteria benoistii
Pouteria multiflora,Pouteria carabobensis
Planchonella costata,Pouteria costata
Pouteria psammophila,Pouteria crassinervia
Pouteria guianensis,Pouteria cuatrecasasii
Pouteria guianensis,Pouteria demerarae
Planchonella endlicheri,Pouteria endlicheri
Pouteria procera,Pouteria excelsa
Planchonella garberi,Pouteria garberi
Pouteria coriacea,Pouteria minutiflora
Pouteria dominigensis,Pouteria moaensis
Planchonella myrsinoides,Pouteria myrsinoides
Planchonella duclitan,Pouteria nitida
Pouteria guianensis,Pouteria obidensis
Pouteria ramiflora,Pouteria ovata
Chrysophyllum venezuelanense,Pouteria pentasperma
Pouteria rostrata,Pouteria purusiana
Pouteria hispida,Pouteria solimoesensis
Pouteria gardneriana,Pouteria suavis
Pouteria caimito,Pouteria temare
Planchonella thyrsoidea,Pouteria thyrsoidea
Pouteria hispida,Pouteria trichopoda
Sarcaulus vestitus,Pouteria vestita
Pradosia schomburgkiana,Pradosia inophylla
Xylosma domingensis,Priamosia domingensis
Protea magnifica,Protea barbigera
Protea nitida,Protea grandiflora
Protea eximia,Protea latifolia
Protea laurifolia,Protea marginata
Protea repens,Protea mellifera
Protea nana,Protea rosacea
Ptaeroxylon obliquum,Ptaeroxylon utile
Cyclocarya paliurus,Pterocarya paliurus
Quercus glauca,Quercus amamiana
Quercus incana,Quercus cinerea
Quercus lancifolia,Quercus corrugata
Quercus palmeri,Quercus dunnii
Quercus lusitanica,Quercus fruticosa
Quercus canbyi,Quercus graciliformis
Quercus pubescens,Quercus lacinifolia
Quercus petraea,Quercus mas
Quercus xalapensis,Quercus paxtalensis
Quercus robur,Quercus pedunculata
Quercus benthamii,Quercus rapurahuensis
Quercus acutifolia,Quercus sartorii
Quercus pubescens,Quercus virgiliana
Cryptocarya litoralis,Ravensara acuminata
Cryptocarya agathophylla,Ravensara aromatica
Cryptocarya septentrionalis,Ravensara gracilis
Frangula betulifolia,Rhamnus betulifolia
Frangula capreifolia,Rhamnus capreifolia
Frangula sphaerosperma,Rhamnus citrifolia
Rhamnus alaternus,Rhamnus myrtifolia
Frangula rubra,Rhamnus rubra
Rhizophora harrisonii,Rhizophora brevistyla
Ribes uva-crispa,Ribes grossularia
Ribes aureum,Ribes odoratum
Ribes viscosum,Ribes peruvianum
Ruagea insignis,Ruagea surutuensis
Salix triandra,Salix alopecuroides
Salix bicolor,Salix cantabrica
Salix myrsinifolia,Salix coriacea
Salix purpurea,Salix dichroa
Salix pentandra,Salix ehrhartiana
Salix psilostigma,Salix eriophylla
Salix taxifolia,Salix exilifolia
Salix gordejevii,Salix flavida
Salix gmelinii,Salix fruticosa
Salix lanata,Salix glandulifera
Salix myricoides,Salix glaucophylloides
Salix gmelinii,Salix holosericea
Salix pierotii,Salix jessoensis
Salix pierotii,Salix koreensis
Salix aurita,Salix livescens
Salix prolixa,Salix mackenzieana
Salix lapponum,Salix marrubiifolia
Salix gmelinii,Salix mollissima
Salix integra,Salix multinervis
Salix myrtilloides,Salix myrtoides
Salix myrsinifolia,Salix nigricans
Salix udensis,Salix opaca
Salix caprea,Salix reichardtii
Salix eriocephala,Salix rigida
Salix gmelinii,Salix sericans
Salix myrsinifolia,Salix sordida
Salix appendiculata,Salix stipularis
Salix babylonica,Salix subfragilis
Salix petiolaris,Salix subsericea
Salix myrsinifolia,Salix vaudensis
Salix purpurea,Salix wimmeriana
Salvinia adnata,Salvinia molesta
Sadymia villosa,Samyda villosa
Sandoricum koetjape,Sandoricum indicum
Schisandra repanda,Schisandra nigra
Sideroxylon acunae,Sideroxylon angustum
Planchonella australis,Sideroxylon australe
Handeliodendron bodinieri,Sideroxylon bodinieri
Sideroxylon foetidissimum,Sideroxylon mastichodendron
Simarouba amara,Simarouba opaca
Symplocos lucida,Symplocos theifolia
Casearia williamsiana,Synandrina riparia
Kubitzkia mezii,Systemonodaphne mezii
Magnolia amazonica,Talauma amazonica
Magnolia gloriensis,Talauma gloriensis
Talisia macrophylla,Talisia allenii
Nothotalisia peruviana,Talisia peruviana
Adinandra acuminata,Ternstroemia coriacea
Taonabo japonica,Ternstroemia japonica
Ternstroemia lineata,Ternstroemia pringlei
Tofieldia calyculata,Tofieldia racemosa
Toona ciliata,Toona hexandra
Heynea trijuga,Trichilia connaroides
Trichilia martiana,Trichilia cuneata
Trichilia glabra,Trichilia emarginata
Tulipa biflora,Tulipa binutans
Tulipa hungarica,Tulipa urumoffii
Ulmus minor,Ulmus carpinifolia
Ulmus laevis,Ulmus effusa
Ulmus laevis,Ulmus pedunculata
Utricularia breviscapa,Utricularia inflata
Veratrum californicum,Veratrum tenuipetalum
Melanthium woodii,Veratrum woodii
Viburnum fordiae,Viburnum hirtulum
Viburnum betulifolium,Viburnum lobophyllum
Viburnum glomeratum,Viburnum veitchii
Liparophyllum capitatum,Villarsia capitata
Liparophyllum congestiflorum,Villarsia congestiflora
Ornduffia marchantii,Villarsia marchantii
Ornduffia reniformis,Villarsia reniformis
Virola elongata,Virola cuspidata
Virola koschnyi,Virola merendonis
Pseudoclausena chrysogyne,Walsura chrysogyne
Xylosma benthamii,Xylosma armata
Croton congestus,Xylosma congesta
Croton congestus,Xylosma japonica
Zamia pumila,Zamia integrifolia
Zamia prasina,Zamia polymorpha
Zelkova serrata,Zelkova keaki
Stenanthium densum,Zigadenus densus
Anticlea elegans,Zigadenus elegans
Stenanthium densum,Zigadenus leimanthoides
Abies alba,Abies pardei
Cunninghamia lanceolata,Larix chinensis
Larix gmelinii,Larix dahurica
Larix griffithii,Larix griffithiana
Larix kaempferi,Larix leptolepis
Larix sibirica,Larix sukaczewii
Platycladus orientalis,Thuja orientalis
Picea glauca,Pinus alba
Fitzroya cupressoides,Pinus cupressoides
Larix griffithii,Pinus griffithii
Pinus fenzeliana,Pinus kwangtungensis
Picea mariana,Pinus mariana
Pinus cembra,Pinus montana
Pinus uncinata,Pinus rotundata
Pinus hartwegii,Pinus rudis
Pinus thunbergii,Pinus thunbergiana
Pinus ponderosa,Pinus washoensis
Pinus pseudostrobus,Pinus yecorensis
Hygrophila costata,Hygrophila lacustris
Hygrophila auriculata,Hygrophila schulli
Acmispon parviflorus,Lotus micranthus
Abatia stellata,Abatia boliviana
Acer obtusifolium,Acer syriacum
Aesculus sylvatica,Aesculus georgiana
Aglaia vitiensis,Aglaia axillaris
Aglaia basiphylla,Aglaia greenwoodii
Akebia trifoliata,Akebia lobata
Niemeyera antiloga,Amorphospermum antilogum
Niemeyera whitei,Amorphospermum whitei
Abatia angeliana,Aphaerema spicata
Aphanamixis polystachya,Aphanamixis velutina
Apollonias barbujana,Apollonias canariensis
Banara tomentosa,Banara bernardinensis
Banara guianensis,Banara mollis
Dryandra nervosa,Banksia alliacea
Dryandra anatona,Banksia anatona
Dryandra arborea,Banksia arborea
Dryandra arctotidis,Banksia arctotidis
Dryandra armata,Banksia armata
Dryandra pulchella,Banksia bella
Dryandra catoglypta,Banksia catoglypta
Dryandra cirsioides,Banksia cirsioides
Dryandra comosa,Banksia comosa
Dryandra cynaroides,Banksia cynaroides
Dryandra lindleyana,Banksia dallanneyi
Dryandra conferta,Banksia densa
Dryandra drummondii,Banksia drummondii
Dryandra epimicta,Banksia epimicta
Dryandra erythrocephala,Banksia erythrocephala
Dryandra foliosissima,Banksia foliosissima
Dryandra fraseri,Banksia fraseri
Dryandra quercifolia,Banksia heliantha
Dryandra hewardiana,Banksia hewardiana
Dryandra horrida,Banksia horrida
Dryandra idiogenes,Banksia idiogenes
Dryandra insulanemorecincta,Banksia insulanemorecincta
Dryandra meganotia,Banksia meganotia
Dryandra nobilis,Banksia nobilis
Dryandra cuneata,Banksia obovata
Dryandra octotriginta,Banksia octotriginta
Dryandra pallida,Banksia pallida
Dryandra polycephala,Banksia polycephala
Dryandra porrecta,Banksia porrecta
Dryandra longifolia,Banksia prolata
Banksia gardneri,Banksia prostrata
Dryandra proteoides,Banksia proteoides
Dryandra pseudoplumosa,Banksia pseudoplumosa
Dryandra pteridifolia,Banksia pteridifolia
Dryandra ferruginea,Banksia rufa
Dryandra serratuloides,Banksia serratuloides
Dryandra speciosa,Banksia splendida
Dryandra stricta,Banksia strictifolia
Dryandra stuposa,Banksia stuposa
Dryandra tenuifolia,Banksia tenuis
Dryandra trifontinalis,Banksia trifontinalis
Dryandra vestita,Banksia vestita
Dryandra wonganensis,Banksia wonganensis
Dryandra xylothemelia,Banksia xylothemelia
Beilschmiedia ovalis,Beilschmiedia austin-smithii
Beilschmiedia pendula,Beilschmiedia brenesii
Blepharistemma serratum,Blepharistemma membranifolium
Brasenia schreberi,Brasenia peltata
Brucea javanica,Brucea amarissima
Brucea guineensis,Brucea macrophylla
Bruguiera cylindrica,Bruguiera caryophylloides
Sideroxylon obtusifolium,Bumelia sartorum
Burckella fijiensis,Burckella multinervis
Vitellaria paradoxa,Butyrospermum parkii
Cabralea canjerana,Cabralea oblongifoliola
Calandrinia ciliata,Calandrinia axilliflora
Cistanthe cachinalensis,Calandrinia cachinalensis
Calandrinia ciliata,Calandrinia feltonii
Cistanthe grandiflora,Calandrinia grandiflora
Montiopsis umbellata,Calandrinia hispida
Calandrinia ciliata,Calandrinia menziesii
Calandrinia ciliata,Calandrinia micrantha
Cistanthe monosperma,Calyptridium monospermum
Camellia sinensis,Camellia chinensis
Camellia oleifera,Camellia oleosa
Carya cordiformis,Carya amara
Carya illinoinensis,Carya pecan
Casearia combaymensis,Casearia bracteifera
Casearia ulmifolia,Casearia cambessedesii
Casearia javitensis,Casearia iquitosensis
Casearia aculeata,Casearia obovata
Cassipourea lanceolata,Cassipourea thomassetii
Castanea pumila,Castanea alnifolia
Castanea sativa,Castanea vesca
Lithocarpus uraianus,Castanopsis uraiana
Ceanothus leucodermis,Ceanothus divaricatus
Ceanothus cuneatus,Ceanothus ramulosus
Toona sureni,Cedrela febrifuga
Cedrela odorata,Cedrela huberi
Cedrela odorata,Cedrela mexicana
Cedrela montana,Cedrela rosei
Toona ciliata,Cedrela serrulata
Toona sinensis,Cedrela sinensis
Cedrela fissilis,Cedrela tubiflora
Zamia restrepoi,Chigua bernalii
Zamia restrepoi,Chigua restrepoi
Chisocheton patens,Chisocheton divergens
Chisocheton pentandrus,Chisocheton microcarpus
Chisocheton patens,Chisocheton tetrapetalus
Englerophytum natalense,Chrysophyllum kilimandscharicum
Ecclinusa ulei,Chrysophyllum ulei
Cinnamomum verum,Cinnamomum leptopus
Cinnamomum pendulum,Cinnamomum microcarpum
Cinnamomum subavenium,Cinnamomum randaiense
Montia parvifolia,Claytonia parvifolia
Corylopsis multiflora,Corylopsis wilsonii
Cycas angulata,Cycas arnhemica
Cycas angulata,Cycas badensis
Cycas normanbyana,Cycas basaltica
Cycas angulata,Cycas brunnea
Cycas lanepoolei,Cycas canalis
Cycas riuminiana,Cycas chamberlainii
Cycas lanepoolei,Cycas conferta
Cycas angulata,Cycas couttsiana
Cycas angulata,Cycas desolata
Cycas pectinata,Cycas dilatata
Cycas szechuanensis,Cycas guizhouensis
Cycas taiwaniana,Cycas hainanensis
Cycas edentata,Cycas litoralis
Cycas media,Cycas megacarpa
Cycas revoluta,Cycas miquelii
Cycas angulata,Cycas ophiolitica
Cycas angulata,Cycas orientis
Cycas siamensis,Cycas panzhihuaensis
Cycas angulata,Cycas platyphylla
Cycas angulata,Cycas semota
Cycas angulata,Cycas tuckeri
Cycas lanepoolei,Cycas xipholepis
Cycas angulata,Cycas yorkiana
Damasonium alisma,Damasonium stellatum
Dehaasia incrassata,Dehaasia triandra
Palaquium oxleyanum,Dichopsis pustulata
Sideroxylon salicifolium,Dipholis salicifolia
Dodonaea viscosa,Dodonaea ehrenbergii
Dryandra squarrosa,Dryandra carduacea
Sibangea arborescens,Drypetes arborescens
Drypetes deplanchei,Drypetes australasica
Drypetes gerrardii,Drypetes battiscombei
Drypetes pendula,Drypetes gigantifolia
Putranjiva matsumurae,Drypetes matsumurae
Dysoxylum parasiticum,Dysoxylum caulostachyum
Dysoxylum excelsum,Dysoxylum procerum
Baldellia ranunculoides,Echinodorus ranunculoides
Baldellia repens,Echinodorus repens
Helanthium tenellum,Echinodorus tenellus
Ekebergia capensis,Ekebergia senegalensis
Ensete ventricosum,Ensete edule
Entandrophragma excelsum,Entandrophragma deiningeri
Freziera mexicana,Eurya mexicana
Eurya glandulosa,Eurya weissiae
Potoxylon melagangai,Eusideroxylon melagangai
Nothofagus fusca,Fagus fusca
Nothofagus solandri,Fagus solandri
Flacourtia indica,Flacourtia ramontchi
Fritillaria lusitanica,Fritillaria hispanica
Fritillaria affinis,Fritillaria lanceolata
Gagea pratensis,Gagea bracteolaris
Gagea liotardii,Gagea fragifera
Gagea pratensis,Gagea pomeranica
Gagea bohemica,Gagea saxatilis
Gagea pratensis,Gagea stenopetala
Chrysophyllum lacourtianum,Gambeya lacourtiana
Chrysophyllum subnudum,Gambeya subnuda
Dendropanax morbiferus,Gilibertia morbifera
Grevillea manglesii,Grevillea glabrata
Grubbia tomentosa,Grubbia stricta
Guarea megantha,Guarea chichon
Guarea glabra,Guarea chiricana
Guarea glabra,Guarea excelsa
Guarea macrophylla,Guarea grandiflora
Talisia japurensis,Guarea japurensis
Guarea megantha,Guarea longipetiola
Leplaea mayombensis,Guarea mayombensis
Guarea glabra,Guarea ramiflora
Guarea guidonia,Guarea trichilioides
Guarea rhopalocarpa,Guarea tuisana
Hakea salicifolia,Hakea florulenta
Halesia carolina,Halesia parviflora
Neosprucea grandiflora,Hasseltia grandiflora
Hecatostemon completus,Hecatostemon dasygynus
Hecatostemon completus,Hecatostemon guazumifolius
Homalium smythei,Homalium aubrevillei
Homalium longistylum,Homalium aylmeri
Homalium stipulaceum,Homalium neurophyllum
Homalium racemosum,Homalium senarium
Horsfieldia amygdalina,Horsfieldia thorelii
Itea parviflora,Itea arisanensis
Bleasdalea ferruginea,Kermadecia ferruginea
Magnolia kwangsiensis,Kmeria septentrionalis
Koelreuteria bipinnata,Koelreuteria integrifoliola
Lozania pittieri,Lacistema pedicellatum
Lacistema hasslerianum,Lacistema serrulatum
Laetia americana,Laetia apetala
Reinwardtiodendron humile,Lansium dubium
Gordonia fruticosa,Laplacea fruticosa
